 ,Mean,Slice,µm
1,247.673,1,0
2,251.286,2,1
3,250.809,3,2
4,250.031,4,3
5,249.009,5,4
6,248.225,6,5
7,247.302,7,6
8,246.860,8,7
9,246.493,9,8
10,246.248,10,9
11,246.107,11,10
12,245.900,12,11
13,245.723,13,12
14,245.683,14,13
15,245.697,15,14
16,245.642,16,15
17,245.626,17,16
18,245.751,18,17
19,245.667,19,18
20,245.756,20,19
21,245.684,21,20
22,245.812,22,21
23,245.821,23,22
24,245.938,24,23
25,245.789,25,24
26,245.869,26,25
27,245.973,27,26
28,246.011,28,27
29,246.066,29,28
30,246.197,30,29
31,246.235,31,30
32,245.951,32,31
33,245.961,33,32
34,245.918,34,33
35,245.870,35,34
36,245.881,36,35
37,245.851,37,36
38,245.924,38,37
39,245.754,39,38
40,245.864,40,39
41,245.840,41,40
42,245.908,42,41
43,245.964,43,42
44,246.064,44,43
45,246.041,45,44
46,246.009,46,45
47,246.096,47,46
48,246.216,48,47
49,246.177,49,48
