 ,Mean
1,255.262
2,257.084
3,258.493
4,256.25
5,256.126
6,255.921
7,256.901
8,255.897
9,257.921
10,258.073
11,256.979
12,255.065
13,256.104
14,257.175
15,254.809
16,257.187
17,257.288
18,258.3
19,257.44
20,258.431
21,260.413
22,260.454
23,259.495
24,261.482
25,260.521
26,262.483
27,258.859
28,258.913
29,258.922
30,258.999
31,259.02
32,259.051
33,259.072
34,258.155
35,260.155
36,259.113
37,259.235
38,259.337
39,259.303
40,259.317
41,259.352
42,260.404
43,259.366
44,259.363
45,259.484
46,260.491
47,260.494
48,259.661
49,260.5
